KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001101001,T001101002,T001101003,T001101004,T001101005,T001101006,T001101007,T001101008,T001101009,T001101010,T001101011,T001101012,T001101013,T001101014,T001101015,T001101016,T001101017,T001101018,T001101019,T001101020,T001101021,T001101022,T001101023,T001101024,T001101025,T001101026,T001101027,T001101028,T001101029,T001101030,T001101031,T001101032,T001101033,T001101034,T001101035,T001101036,T001101037,T001101038,T001101039,T001101040,T001101041,T001101042,T001101043,T001101044,T001101045,T001101046,T001101047,T001101048,T001101049,T001101050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
513144151,1,,513144054;513144152,2,0,2,0,0,0,9,5,4,4,3,1,9,5,4,9,5,4,5,2,3,4,2,2,3,2,1,1,1,0,0,0,0,2,2,3,1,0,1,0,0,0,2,1,1,0,4,0,2,0
513144152,2,513144151,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513144161,1,,513144163,30,15,15,6,5,1,32,14,18,14,4,10,29,14,15,29,14,15,18,10,8,5,2,3,3,1,2,0,0,0,0,0,0,9,9,2,5,1,2,0,0,2,10,8,2,0,11,0,2,4
513144162,0,,,9,5,4,0,0,0,9,5,4,5,3,2,9,5,4,9,5,4,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,3,1,0,0,0,0,4,4,0,0,2,0,0,2
513144163,2,513144161,,8,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513144164,0,,,12,4,8,0,0,0,12,4,8,4,1,3,12,4,8,12,4,8,8,3,5,3,1,2,1,1,0,0,0,0,0,0,0,6,6,3,1,1,1,0,0,0,3,2,1,0,6,0,3,1
513144192,2,513144194,,6,2,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513144194,1,,513144192,4,2,2,0,0,0,10,4,6,4,2,2,10,4,6,10,4,6,6,2,4,2,0,2,1,0,1,0,0,0,0,0,0,2,2,4,0,2,0,0,0,0,2,2,0,0,4,0,2,0
513144261,0,,,14,8,6,0,0,0,14,8,6,4,3,1,14,8,6,14,8,6,10,5,5,4,3,1,1,1,0,1,1,0,0,0,0,7,7,2,3,2,0,0,0,0,5,4,1,0,6,0,1,3
513144262,0,,,25,14,11,3,2,1,22,12,10,7,3,4,22,12,10,22,12,10,15,9,6,4,3,1,2,2,0,0,0,0,0,0,0,10,10,3,5,0,0,1,0,1,7,6,1,0,9,0,3,4
513144264,0,,,11,5,6,0,0,0,11,5,6,4,3,1,11,5,6,11,5,6,7,2,5,5,1,4,2,1,1,0,0,0,0,0,0,4,4,1,1,0,2,0,0,0,3,1,2,0,4,0,1,0
513144271,2,513144273,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513144273,1,,513144271,9,6,3,0,0,0,13,8,5,2,1,1,13,8,5,13,8,5,11,7,4,8,5,3,2,2,0,0,0,0,0,0,0,5,5,3,2,2,0,0,0,0,4,4,0,0,7,0,3,2
513144292,1,,513144294,5,2,3,0,0,0,10,4,6,2,0,2,10,4,6,10,4,6,8,4,4,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,3,1,0,0,0,0,4,4,0,0,5,0,1,3
513144294,2,513144292,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513144373,2,513144374,,9,6,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513144374,1,,513144373;513144462,7,4,3,5,5,0,16,8,8,10,6,4,15,7,8,15,7,8,6,2,4,4,1,3,3,0,3,1,0,1,0,0,0,3,3,2,3,1,1,0,1,0,6,6,0,2,4,0,2,1
